account_number,owner_id,bank_name,account_type,open_date,balance_inr
1001001000,PER00001,ICICI Bank,Savings,2023-01-10,135809
1001001001,PER00001,ICICI Bank,Savings,2018-02-19,80226
1001001002,PER00002,Axis Bank,Savings,2024-09-04,82362
1001001003,PER00003,Axis Bank,Savings,2019-10-31,251131
1001001004,PER00004,SBI,Savings,2022-08-03,179567
1001001005,PER00004,Axis Bank,Savings,2013-05-11,414705
1001001006,PER00005,ICICI Bank,Savings,2016-09-17,95623
1001001007,PER00005,HDFC Bank,Savings,2021-08-09,99866
1001001008,PER00006,HDFC Bank,Savings,2013-04-30,222725
1001001009,PER00006,HDFC Bank,Savings,2012-09-23,209856
1001001010,PER00007,ICICI Bank,Savings,2018-11-30,189145
1001001011,PER00008,SBI,Savings,2017-10-28,62385
1001001012,PER00009,Axis Bank,Savings,2017-11-17,26525
1001001013,PER00010,Kotak Mahindra Bank,Savings,2020-05-04,226340
1001001014,PER00011,SBI,Savings,2018-09-01,533236
1001001015,PER00012,Axis Bank,Savings,2024-08-24,38639
1001001016,PER00013,Axis Bank,Savings,2015-05-03,107402
1001001017,PER00014,Kotak Mahindra Bank,Savings,2012-01-02,136313
1001001018,PER00014,ICICI Bank,Savings,2023-09-16,17793
1001001019,PER00015,HDFC Bank,Savings,2023-09-14,131268
1001001020,PER00016,HDFC Bank,Savings,2016-11-12,65279
1001001021,PER00016,SBI,Savings,2014-01-13,19314
1001001022,PER00017,SBI,Savings,2019-01-20,45164
1001001023,PER00018,ICICI Bank,Savings,2025-04-28,88472
1001001024,PER00019,Kotak Mahindra Bank,Savings,2025-04-26,254926
1001001025,PER00019,Kotak Mahindra Bank,Savings,2023-02-05,88915
1001001026,PER00020,Kotak Mahindra Bank,Savings,2019-01-16,169183
1001001027,PER00021,Kotak Mahindra Bank,Savings,2017-04-09,171247
1001001028,PER00022,Kotak Mahindra Bank,Savings,2017-09-06,119186
1001001029,PER00023,SBI,Savings,2015-12-08,252573
1001001030,PER00023,SBI,Savings,2011-11-15,120494
1001001031,PER00024,Axis Bank,Savings,2014-05-20,52031
1001001032,PER00025,Axis Bank,Savings,2017-04-27,159530
1001001033,PER00025,SBI,Savings,2019-06-17,199178
1001001034,PER00026,Axis Bank,Savings,2015-07-13,42750
1001001035,PER00026,HDFC Bank,Savings,2025-03-03,95001
1001001036,PER00027,SBI,Savings,2013-03-24,174613
1001001037,PER00028,SBI,Savings,2019-05-14,89526
1001001038,PER00028,HDFC Bank,Savings,2019-05-31,46651
1001001039,PER00029,Kotak Mahindra Bank,Savings,2020-11-29,103114
1001001040,PER00030,SBI,Savings,2016-07-05,81105
1001001041,PER00031,Axis Bank,Savings,2013-10-20,198858
1001001042,PER00032,ICICI Bank,Savings,2025-06-01,290349
1001001043,PER00033,Axis Bank,Savings,2021-12-31,176172
1001001044,PER00033,Kotak Mahindra Bank,Savings,2018-05-26,122279
1001001045,PER00034,Axis Bank,Savings,2016-04-23,145639
1001001046,PER00035,ICICI Bank,Savings,2014-10-05,109044
1001001047,PER00035,Axis Bank,Savings,2025-07-11,205233
1001001048,PER00036,ICICI Bank,Savings,2015-09-29,74409
1001001049,PER00037,Axis Bank,Savings,2012-03-23,0
1001001050,PER00038,Axis Bank,Savings,2016-09-06,70713
1001001051,PER00038,Axis Bank,Savings,2012-08-13,126746
1001001052,PER00039,Axis Bank,Savings,2025-05-31,93647
1001001053,PER00039,HDFC Bank,Savings,2012-02-11,100315
1001001054,PER00040,HDFC Bank,Savings,2020-12-27,38746
1001001055,PER00041,Axis Bank,Savings,2017-11-23,132631
1001001056,PER00042,HDFC Bank,Savings,2020-09-17,222673
1001001057,PER00042,Axis Bank,Savings,2024-05-16,173696
1001001058,PER00043,SBI,Savings,2021-12-24,186845
1001001059,PER00043,Axis Bank,Savings,2017-01-11,180742
1001001060,PER00044,Kotak Mahindra Bank,Savings,2014-11-15,98460
