transaction_id,from_account,to_account,amount_inr,timestamp,payment_mode,remarks
TXN0000001,1001002623,1001002906,254,2025-01-05 03:41:49,RTGS,Transaction
TXN0000002,1001002565,1001001781,8905,2025-04-21 07:02:34,RTGS,Transaction
TXN0000003,1001002842,1001002200,41617,2025-07-02 05:24:23,IMPS,Transaction
TXN0000004,1001002145,1001001765,371,2025-04-21 07:41:29,NEFT,Transaction
TXN0000005,1001002197,1001002309,6068,2024-03-27 02:36:17,NEFT,Transaction
TXN0000006,1001001141,1001002103,820,2024-05-10 08:02:35,NEFT,Transaction
TXN0000007,1001002178,1001001414,2689,2025-03-14 11:16:46,NEFT,Transaction
TXN0000008,1001001905,1001001894,460,2025-01-16 17:32:06,RTGS,Transaction
TXN0000009,1001002819,1001001041,977,2023-11-09 07:08:41,RTGS,Transaction
TXN0000010,1001002144,1001001059,801,2025-03-04 02:16:26,RTGS,Transaction
TXN0000011,1001002406,1001001271,551,2023-12-14 02:21:20,RTGS,Transaction
TXN0000012,1001002608,1001002201,883,2025-03-24 13:02:36,NEFT,Transaction
TXN0000013,1001001568,1001002763,320,2023-09-18 17:11:40,RTGS,Transaction
TXN0000014,1001001266,1001002515,192,2025-08-14 00:12:47,NEFT,Transaction
TXN0000015,1001002564,1001002092,25476,2024-05-06 01:26:57,NEFT,Transaction
TXN0000016,1001002376,1001002445,42403,2025-03-16 13:56:07,UPI,Transaction
TXN0000017,1001002013,1001001656,5921,2024-11-28 02:40:27,RTGS,Transaction
TXN0000018,1001002080,1001002336,5241,2025-01-06 21:18:01,UPI,Transaction
TXN0000019,1001001107,1001001425,3839,2024-01-30 16:27:07,UPI,Transaction
TXN0000020,1001002279,1001001273,1009,2024-12-31 12:38:57,UPI,Transaction
TXN0000021,1001001161,1001002321,191,2024-08-28 06:31:42,NEFT,Transaction
TXN0000022,1001001994,1001001713,1882,2025-01-06 23:30:26,IMPS,Transaction
TXN0000023,1001001938,1001002666,337,2025-03-06 03:52:04,RTGS,Transaction
TXN0000024,1001002057,1001002010,12261,2024-03-31 10:56:04,RTGS,Transaction
TXN0000025,1001002662,1001001928,13544,2024-04-06 12:10:56,IMPS,Transaction
TXN0000026,1001001588,1001002123,4330,2024-04-24 05:57:52,IMPS,Transaction
TXN0000027,1001001092,1001001684,731,2024-08-07 05:47:58,RTGS,Transaction
TXN0000028,1001002190,1001001553,16605,2023-12-01 22:47:27,RTGS,Transaction
TXN0000029,1001002484,1001001061,693,2025-08-02 03:14:19,IMPS,Transaction
